brother
she
sister
rabbit
they
mother
father
grandma
grandpa
star
light
red
green
yellow
blue
umbrella
violin
color
orange
pink
white
black
window
ruler
pen
pencil
zoo
pencil box
book
bag
crayon
sing
dance
happy
